nombre,BuscadoDesde,tipo_buscado,latitud,longitud,location
vegetarian / vegan restaurant,Salamanca,Vegan,40.432974,-3.686693,"{'type': 'Point', 'coordinates': [40.432974, -3.686693]}"
RESTAURANTE VEGANO PLANT GRILL,Centro,Vegan,40.41558314100989,-3.701298236846924,"{'type': 'Point', 'coordinates': [40.41558314100989, -3.701298236846924]}"
Restaurante Vegetariano Multitienda Ecologica,Moncloa,Vegan,40.424405,-3.72481,"{'type': 'Point', 'coordinates': [40.424405, -3.72481]}"
vegetarian / vegan restaurant,Salamanca,Vegan,40.432974,-3.686693,"{'type': 'Point', 'coordinates': [40.432974, -3.686693]}"
RESTAURANTE VEGANO PLANT GRILL,Centro,Vegan,40.41558314100989,-3.701298236846924,"{'type': 'Point', 'coordinates': [40.41558314100989, -3.701298236846924]}"
Restaurante Vegetariano Multitienda Ecologica,Moncloa,Vegan,40.424405,-3.72481,"{'type': 'Point', 'coordinates': [40.424405, -3.72481]}"
vegetarian / vegan restaurant,Salamanca,Vegan,40.432974,-3.686693,"{'type': 'Point', 'coordinates': [40.432974, -3.686693]}"
RESTAURANTE VEGANO PLANT GRILL,Centro,Vegan,40.41558314100989,-3.701298236846924,"{'type': 'Point', 'coordinates': [40.41558314100989, -3.701298236846924]}"
Restaurante Vegetariano Multitienda Ecologica,Moncloa,Vegan,40.424405,-3.72481,"{'type': 'Point', 'coordinates': [40.424405, -3.72481]}"
vegetarian / vegan restaurant,Salamanca,Vegan,40.432974,-3.686693,"{'type': 'Point', 'coordinates': [40.432974, -3.686693]}"
RESTAURANTE VEGANO PLANT GRILL,Centro,Vegan,40.41558314100989,-3.701298236846924,"{'type': 'Point', 'coordinates': [40.41558314100989, -3.701298236846924]}"
Restaurante Vegetariano Multitienda Ecologica,Moncloa,Vegan,40.424405,-3.72481,"{'type': 'Point', 'coordinates': [40.424405, -3.72481]}"
vegetarian / vegan restaurant,Salamanca,Vegan,40.432974,-3.686693,"{'type': 'Point', 'coordinates': [40.432974, -3.686693]}"
RESTAURANTE VEGANO PLANT GRILL,Centro,Vegan,40.41558314100989,-3.701298236846924,"{'type': 'Point', 'coordinates': [40.41558314100989, -3.701298236846924]}"
Restaurante Vegetariano Multitienda Ecologica,Moncloa,Vegan,40.424405,-3.72481,"{'type': 'Point', 'coordinates': [40.424405, -3.72481]}"
vegetarian / vegan restaurant,Salamanca,Vegan,40.432974,-3.686693,"{'type': 'Point', 'coordinates': [40.432974, -3.686693]}"
RESTAURANTE VEGANO PLANT GRILL,Centro,Vegan,40.41558314100989,-3.701298236846924,"{'type': 'Point', 'coordinates': [40.41558314100989, -3.701298236846924]}"
Restaurante Vegetariano Multitienda Ecologica,Moncloa,Vegan,40.424405,-3.72481,"{'type': 'Point', 'coordinates': [40.424405, -3.72481]}"
