,longt,latt
Arganzuela,-3.68972,40.39238
Retiro,-3.67826,40.41964
Salamanca,-3.68721,40.42760
Tetuán,-3.69529,40.47004
Chamberí,-3.71014,40.44099
Fuencarral-El Pardo,-3.70367,40.48510
Latina,-3.74322,40.39355
Carabanchel,-3.73501,40.37663
Usera,-3.70595,40.38989
Moratalaz,-3.65223,40.41057
Ciudad Lineal,-3.63581,40.43875
Hortaleza,-3.64645,40.46817
Villaverde,-3.70396,40.33596
Villa de Vallecas,-3.59451,40.36813
Vicálvaro,-3.61868,40.38671
San Blas,-3.63880,40.43965
Barajas,-3.59395,40.46079
Centro,-3.70628,40.41956
Chamartín,-3.68044,40.45882
Moncloa,-3.72137,40.42978
Puente de Vallecas,-3.65323,40.38492
